Filename,Author,Date
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,Artsem Kurantsou,2024-08-04
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,Scott Alexander-Bown,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,Scott Alexander-Bown,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/ui/ResultIconView.kt,Scott Alexander-Bown,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,Artsem Kurantsou,2024-08-04
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,Scott Alexander-Bown,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootedResultTextView.kt,Scott Alexander-Bown,2021-05-08
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,Scott Alexander-Bown,2024-09-12
app/src/main/java/com/scottyab/rootbeer/sample/ui/ScopedActivity.kt,Scott Alexander-Bown,2021-05-08
app/src/main/res/drawable/ic_check_circle_green_24dp.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/drawable/ic_check_circle_green_24dp.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/drawable/ic_error_circle_outline_red_24dp.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/drawable/ic_error_circle_outline_red_24dp.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/drawable/ic_info_outline_white_24dp.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/drawable/ic_info_outline_white_24dp.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/drawable/ic_lock_open_white_24dp.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/drawable/ic_lock_open_white_24dp.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2024-09-12
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2021-05-08
app/src/main/res/layout/activity_main.xml,Deepak PK,2020-03-11
app/src/main/res/layout/activity_main.xml,Matthew Rollings,2020-02-03
app/src/main/res/layout/activity_main.xml,Daniel Kutik,2019-11-16
app/src/main/res/layout/activity_main.xml,Daniel Kutik,2019-11-16
app/src/main/res/layout/activity_main.xml,Matthew Rollings,2017-05-12
app/src/main/res/layout/activity_main.xml,Frieder Bluemle,2017-05-11
app/src/main/res/layout/activity_main.xml,Scott Alexander-Bown,2017-03-24
app/src/main/res/layout/activity_main.xml,Matthew Rollings,2017-03-24
